hotel_id,tot_revenue_euro,%_option_breakfast,%_option_half_board,%_option_not_specified,%_option_full_board,%_option_room_only,%_option_all_inclusive,%_market_business,%_market_business_groups,%_market_leisure_groups,%_market_retail,%_market_other,average_length_of_stay,days_in_advance_booking,average_IT_per_booking,average_DE_per_booking,average_foreigners_per_booking,average_majority_foreigners_per_booking,average_minority_foreigners_per_booking,%_monday_booking,%_tuesday_booking,%_wednesday_booking,%_thursday_booking,%_friday_booking,%_saturday_booking,%_sunday_booking,%_january_booking,%_february_booking,%_march_booking,%_april_booking,%_may_booking,%_june_booking,%_july_booking,%_august_booking,%_september_booking,%_october_booking,%_november_booking,%_december_booking,city
hotel_1,237657.69961234028,0.0598438855160451,0.9401561144839548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034692107545533,0.9965307892454468,5.816999132697311,-132.61231569817866,0.3469210754553339,2.241110147441457,2.603642671292281,2.5637467476149176,0.0398959236773634,0.1258488747787763,0.1255019537033209,0.1283581391484049,0.1364817519407846,0.1561371086299661,0.191536477257869,0.1361356945408779,0.0,0.0,0.0,0.141835282381683,0.1641308339920655,0.1344760809201398,0.1143837226664633,0.11297687568286,0.1516233269307092,0.1620130511462586,0.0185608262798202,0.0,Riva del garda
hotel_2,1410631.361401071,0.9579102281089036,0.028513612950699,0.0,0.0094922737306843,0.004083885209713,0.0,0.0,0.0385209713024282,0.0,0.925496688741722,0.0359823399558498,2.4385209713024283,-61.02792494481236,1.0966887417218545,0.2786975717439293,0.7634657836644592,0.5048565121412804,0.2586092715231788,0.1190708001221246,0.1198942279819763,0.1227292977748275,0.1335154289541706,0.1614675570014974,0.2097745647166176,0.1335481234487857,0.0922551675697371,0.1332559432228306,0.1193178614370667,0.0003145156290851,0.0004415011037527,0.0047156522653211,0.0954296035090737,0.0877497937431712,0.0997568478859869,0.1119305161358141,0.1342825607064017,0.1205500367917586,Riva del garda
hotel_3,441777.8068086113,0.902307945928124,0.0,0.0,0.0,0.097692054071876,0.0,0.0248801643460397,0.0,0.0383474092672905,0.9285551244008218,0.0082173019858479,2.0342387582743666,-31.639123487788176,1.2501711937913718,0.3051814654188541,0.7044053868979685,0.5295594613102032,0.1748459255877653,0.1226168185850369,0.1250059008816746,0.1273056651774242,0.1331110368581668,0.1429811880744718,0.2270216612840845,0.1219577291391408,0.0652248345126683,0.0719013923761698,0.0814463973217682,0.0768660123259529,0.0754649405984717,0.0953630938794143,0.0894328223705078,0.0826427775982672,0.110312634941715,0.0955373014720195,0.0677571192407987,0.088050673362246,Riva del garda
hotel_4,590661.6153790654,0.7736505141205764,0.2263494858794235,0.0,0.0,0.0,0.0,0.0,0.0,0.0279057166079653,0.9720942833920346,0.0,3.614598382141053,-67.83387062078474,0.4148680137707501,0.7204319386925727,1.4733508792300447,1.2061178413386486,0.2672330378913961,0.1256602168414685,0.1255204682731098,0.1314128118788102,0.1375811844316314,0.1598552558251826,0.1886447529261129,0.1313253098236842,0.0092115957735031,0.0,0.028664318612842,0.1130062184722168,0.1161360968120654,0.1394444345202947,0.1251937600014002,0.1162916473333704,0.1294725526437799,0.1476674278489504,0.0749119479815768,0.0,Riva del garda
hotel_5,379540.6593706571,0.8734388009991674,0.1257285595337219,0.0,0.0,0.0008326394671107,0.0,0.0208159866777685,0.0,0.0,0.9350541215653622,0.0441298917568692,3.3064113238967527,-56.24396336386345,0.4429641965029142,0.8609492089925063,1.7135720233139051,1.357202331390508,0.3563696919233972,0.1425973369770205,0.1168052781708069,0.1176194954088376,0.1126975901330605,0.1509273061104868,0.2186648396473542,0.1406881535524333,0.0591174021648626,0.0,0.0661254510130446,0.1087184741431202,0.1112338142937643,0.1250132164994779,0.1320298560723206,0.1353138257801038,0.1324927639665358,0.1107489790254153,0.0192062170413544,0.0,Riva del garda
hotel_6,212423.19072214336,0.5407862407862407,0.4503412503412503,0.0,0.0088725088725088,0.0,0.0,0.2334152334152334,0.0,0.1723996723996724,0.5941850941850941,0.0,4.261092586092587,-45.33664151164151,0.3994130494130494,0.7298711048711048,1.4602735852735853,1.2117068367068369,0.2485667485667485,0.1117629486349582,0.1057978926699022,0.1169526903976664,0.1327462493730436,0.1768406335990068,0.2240924603962881,0.1318071249291345,0.0,0.0,0.0,0.1111822861822861,0.1397205647205647,0.1611296361296361,0.1523771898771898,0.1639163422058159,0.1683209525314788,0.1033530283530283,0.0,0.0,Riva del garda
hotel_7,671980.1120835341,0.9516060862214708,0.0,0.0,0.0,0.0483939137785291,0.0,0.091927303465765,0.0164835164835164,0.0,0.1213017751479289,0.7702874049027895,2.752958579881657,-58.47104818258664,0.7857142857142857,0.4587912087912087,0.97083685545224,0.7700760777683855,0.2007607776838546,0.1305923865296812,0.131461999764418,0.1340065407563572,0.1326357099106743,0.1545009862932236,0.1885327509356418,0.1282696258100036,0.0704062764158918,0.0004939771766694,0.0224241570395416,0.1017833662064431,0.1073174747202642,0.1033187449818895,0.0908324276456144,0.084323975724826,0.104497649841305,0.1294413919413919,0.0793164143577082,0.1058441439484545,Riva del garda
hotel_8,1250293.6996561915,0.835664851372816,0.1633276605400499,0.0,0.0010074880871341,0.0,0.0,0.0004084411164057,0.0328114363512593,0.0001361470388019,0.966643975493533,0.0,3.025829686537651,-72.91514500740165,0.8562763784887679,0.603575480566631,1.1736373950533243,0.9365729845375864,0.2370644105157379,0.1144039837884558,0.1146060899418894,0.1075319183680582,0.1261328039752317,0.1697697362132531,0.2374888884458588,0.1300665792672528,0.0483321987746766,0.0,0.0627637848876787,0.1103463105233016,0.1053815898948642,0.1260490976386143,0.1141140014965746,0.1104591596286626,0.1446866015007608,0.1189155878536409,0.0,0.0589516678012253,Riva del garda
hotel_9,426915.33,0.8726222826086957,0.1188858695652173,0.0,0.0,0.0084918478260869,0.0,0.0027173913043478,0.0574048913043478,0.1616847826086956,0.7781929347826086,0.0,2.8980978260869565,-34.13315217391305,0.3189538043478261,1.1015625,1.655570652173913,1.4150815217391304,0.2404891304347826,0.1137720814436167,0.1302285963206479,0.1164699157650923,0.1400697044124354,0.1737629878424715,0.2114764519146312,0.1142202623011046,0.0,0.0,0.0,0.0768552665631469,0.1060671495623941,0.1505573004893657,0.1647299343545946,0.1652657719318724,0.1534678353801995,0.0767388069358178,0.0591032608695652,0.0472146739130434,Riva del garda
hotel_10,437452.48,0.8117093262724331,0.1494557222712562,0.0,0.0,0.0388349514563106,0.0,0.0023536334215945,0.0358929096793174,0.1288614298323036,0.7846425419240953,0.048249485142689,4.458958517210944,-58.43689320388349,0.4922035892909679,1.0332450720800237,1.7993527508090614,1.4580759046778464,0.341276846131215,0.1326016065275449,0.1243336147533749,0.1189192049933963,0.1256425419682779,0.1634408694621041,0.1951971929660004,0.1398649693293014,0.0229479258605472,0.0,0.0,0.1527101808655206,0.1307936155244187,0.1398005601668443,0.1188132933719871,0.1142845810983498,0.1397190604825203,0.1620134540037452,0.0189173286260664,0.0,Riva del garda
hotel_11,773999.2877062382,0.5251323202311952,0.1445476758722582,0.0,0.3296381082265842,0.0006818956699624,0.0,0.0,0.0,0.0,1.0,0.0,3.1421752471871804,-70.36737129219229,0.4882372996931469,0.7495738152062734,1.380327309921582,1.0600068189566996,0.3203204909648823,0.1137973341391343,0.1035800057237152,0.103650606032979,0.1361359607737036,0.1726348851455397,0.2487384454674771,0.1214627627174507,0.0,0.0117616855811537,0.0762811926679979,0.0887176031908387,0.1019002429929808,0.1108269983227364,0.1279562162276107,0.1128123401393091,0.1068567044956407,0.1178888022989625,0.0664097381195915,0.0785884759631776,Riva del garda
hotel_12,255461.40777561328,0.6321651725074708,0.3637598478674273,0.0,0.0038033143167617,0.0002716653083401,0.0,0.0,0.0,0.0002716653083401,0.0,0.99972833469166,2.7204563977180114,-76.88508557457213,1.0448247758761209,0.5199674001629991,0.9483835914153762,0.7381146427601195,0.2102689486552567,0.1373942788775714,0.1324378962520772,0.1248626188927737,0.1432473628276399,0.1566393648911986,0.1842544864957253,0.1211639917630137,0.0027166530834012,0.0,0.0,0.1040025355428778,0.1810558724984153,0.1496966404056868,0.1655049740624312,0.1398061317172971,0.1526131125356879,0.090749149428856,0.0067916327085031,0.0070632980168432,Riva del garda
hotel_13,176587.60434648686,0.8367158671586716,0.0,0.0,0.0,0.1632841328413284,0.0,0.0,0.0,0.0,0.0691881918819188,0.9308118081180812,2.7675276752767526,-42.34870848708487,0.5046125461254612,0.6789667896678967,1.5977859778597785,1.1531365313653137,0.4446494464944649,0.1266371453986767,0.1234191956055424,0.1272066084796712,0.1356475678892653,0.154683495573717,0.2036097077379365,0.1287962793151907,0.0126076260762607,0.004920049200492,0.0,0.009840098400984,0.050430504305043,0.1550210859251449,0.1643291108235757,0.1672899927051218,0.2113130847217563,0.1918881420957066,0.0037625197680548,0.0285977859778597,Riva del garda
hotel_14,158675.26215352776,0.8012783265543288,0.0,0.0,0.0,0.1987216734456711,0.0,0.0,0.0,0.0,0.9721092388146426,0.0278907611853573,2.570598489250436,-36.05926786751888,0.8762347472399767,0.4276583381754794,0.8134805345729227,0.6624055781522371,0.1510749564206856,0.1162037807753273,0.1226490439826474,0.119490265766528,0.1357897363585611,0.165701783121276,0.2297234077617269,0.110441982233933,0.077430065576492,0.0707686560969536,0.0824811156304474,0.0778852273041697,0.0951038986192966,0.106151286250066,0.1026420509569841,0.1020577548540942,0.1078439549023511,0.0931889628868129,0.0362192523726515,0.0482277745496804,Riva del garda
hotel_15,35479.128103230105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5387755102040817,0.4612244897959183,6.289795918367347,-84.15918367346939,0.6448979591836734,1.43265306122449,2.289795918367347,2.053061224489796,0.236734693877551,0.1302840163704509,0.113518401033407,0.1168888401181318,0.1540347894069382,0.1680233591938273,0.1936168133587101,0.1236337805185344,0.0163265306122449,0.0,0.0081632653061224,0.1037362637362637,0.0740965836884204,0.1886783284742468,0.1553206997084548,0.1555845854825446,0.1343911190849966,0.071865889212828,0.0183673469387755,0.073469387755102,Riva del garda
hotel_16,1983.75,0.9375,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,1.0,5.0625,-20.3125,0.125,1.6875,1.9375,1.8125,0.125,0.0563988095238095,0.1345238095238095,0.0657738095238095,0.0866071428571428,0.2324404761904761,0.2063988095238095,0.2178571428571428,0.0,0.0,0.0,0.8526785714285714,0.0848214285714285,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,Riva del garda
hotel_17,217571.6484563492,0.8900523560209425,0.0,0.0,0.000523560209424,0.1094240837696335,0.0,0.0,0.0,0.0,0.0,1.0,1.9157068062827225,-123.30785340314137,0.4916230366492146,0.8806282722513089,1.5738219895287957,1.2989528795811518,0.2748691099476439,0.1122414801603283,0.1097167564837721,0.1179555581126261,0.1261129170422364,0.1920179602247665,0.212561433621643,0.1293938943546273,0.0026178010471204,0.0,0.0,0.0858726003490401,0.096594365494889,0.1762066816255298,0.1961530790326602,0.180224382946896,0.1974220892545499,0.0641236599351782,0.000261780104712,0.000523560209424,Riva del garda
hotel_18,610313.32,0.6346379189125849,0.3475509725802672,0.0,0.0,0.0178111085071478,0.0,0.0011717834544176,0.0164049683618467,0.2500585891727209,0.7323646590110148,0.0,3.365830794469182,-42.130067963440354,0.2425591750644481,0.9589875790953832,1.684321537379892,1.4724630888211858,0.2118584485587063,0.1335886960213184,0.1224059759213262,0.1152705248557135,0.1347600652088582,0.1663565550664215,0.1975005471314353,0.1301176357949266,0.0,0.0,0.0024234612352728,0.1096827358252247,0.1322533057651407,0.140409637234104,0.1691490552517034,0.13288793790903,0.131573011266004,0.1396710078453692,0.0,0.0419498476681509,Riva del garda
hotel_19,332042.72,0.6514310123878684,0.3408799658265698,0.0,0.0,0.0076890217855617,0.0,0.007261853908586,0.0281930798803929,0.2451943613840239,0.719350704826997,0.0,3.8705681332763775,-47.37462622810765,0.2558735583084152,0.981631781290047,1.6463049978641606,1.4553609568560444,0.1909440410081161,0.1376529955179099,0.1368271376224236,0.1186912723485832,0.1308051556091609,0.1503270511989762,0.1957462150717923,0.1299501726311536,0.0,0.0,0.0,0.1214784076808852,0.1429422682306065,0.1693657604913478,0.1619402975874569,0.1590300854397394,0.1523707817172148,0.0928723988527491,0.0,0.0,Riva del garda
hotel_20,4186004.679083487,0.8151685242615174,0.0768751040569909,0.0,0.0,0.1079563716814917,0.0,0.014402071309132,0.1711783267705917,0.00091698581369,0.8135026161065861,0.0,4.058904886909364,-113.30519445493285,0.6273945444909359,1.0410980023027598,1.67624833392809,1.1923492107738831,0.4838991231542071,0.128341029261593,0.1231085177183703,0.1266087819632564,0.1337864840837425,0.1631115801006064,0.1930478718852596,0.1319957349871715,0.0046928097524138,0.0,9.889062696657495e-05,0.1175012484144584,0.1342940076302319,0.1431881367902089,0.1147801346278028,0.1201244630110136,0.1299690831889917,0.1423102578400789,0.0538263394970876,0.0392146286207454,Riva del garda
hotel_21,32569.728604256856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.304932735426009,-22.08520179372197,1.4394618834080717,1.5829596412556053,1.6457399103139014,1.6457399103139014,0.0,0.1246938661736868,0.1191632234233131,0.1184570412148887,0.1245568457451865,0.1729341162076588,0.1982489234731387,0.1419459837621272,0.0224215246636771,0.0,0.0,0.0375560538116591,0.0576767029681827,0.1556859433541048,0.1698318870964611,0.1981582319026265,0.1820378674638764,0.1205779770802192,0.0022421524663677,0.0538116591928251,Riva del garda
hotel_22,77.27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Riva del garda
hotel_23,163206.96916305917,0.6636113657195234,0.0,0.0,0.0,0.3363886342804766,0.0,0.0,0.0,0.0,0.0,1.0,3.288725939505041,-45.82493125572869,0.8386801099908341,1.000916590284143,1.686526122823098,1.4335472043996331,0.2529789184234647,0.1203234842893547,0.1196348842652827,0.1147235770166702,0.1206808755307164,0.1576868194798318,0.2418534167078406,0.1250969427103033,0.0311640696608615,0.0,0.0027497708524289,0.0929902666841255,0.1009864257343634,0.1841250764715475,0.1918432660358578,0.1842261783195626,0.1806854058458091,0.0312295403954432,0.0,0.0,Riva del garda
hotel_24,202014.08,0.7882637628554144,0.0,0.0,0.0,0.2117362371445856,0.0,0.0,0.0,0.0,1.0,0.0,2.647912885662432,-51.08469449485784,1.852389594676346,0.5856019358741682,0.5856019358741682,0.5856019358741682,0.0,0.122908070603648,0.1400683020453294,0.1214477346044353,0.1294728105622173,0.1517084763550519,0.1862781598811783,0.1481164459481395,0.0278281911675741,0.0,0.0,0.1029945553539019,0.1532343790510759,0.1468693284936479,0.1576735726463494,0.1397776704038047,0.1525516377149771,0.0673624472554647,0.0492883752029802,0.0024198427102238,Riva del garda
hotel_25,305804.5484792985,1.0,0.0,0.0,0.0,0.0,0.0,0.0017615971814445,0.010569583088667,0.0287727539635936,0.9588960657662948,0.0,2.0283845501402755,-59.602440138318,0.7704541006067723,0.5848747308670973,1.158935212370327,0.8748776668623998,0.2840575455079271,0.1228472317139375,0.1186183605003334,0.1218476416582699,0.1425866843732375,0.1640258547481095,0.1930138865179969,0.137060340488115,0.0320023487962419,0.0,0.0423027989821883,0.0885789782736347,0.1145760874474908,0.1188662971399319,0.1219381763274893,0.1083702556984999,0.123389523962043,0.1075895478567234,0.059003718927383,0.0833822665883734,Riva del garda
hotel_26,71831.9057022977,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9591439688715954,0.0408560311284046,3.72568093385214,-54.36575875486381,0.5486381322957199,0.6809338521400778,1.6147859922178989,1.0252918287937742,0.5894941634241245,0.1251404129808798,0.1027884890725357,0.1102370014334994,0.1197916923111475,0.179168043370378,0.2102804242882064,0.1525939365433528,0.0389105058365758,0.0,0.0,0.0826199740596627,0.0672287073065283,0.147353467976036,0.1564480266814897,0.1314935766784015,0.1730923043666234,0.1693904020752269,0.0003891050583657,0.0330739299610894,Riva del garda
hotel_27,690169.0063347209,0.8450164293537787,0.0,0.0,0.0,0.1549835706462212,0.0,0.0221796276013143,0.0,0.1453997809419496,0.8324205914567361,0.0,3.24671412924425,-58.95454545454545,0.3332420591456736,0.8263964950711938,1.605421686746988,1.3025739320920044,0.3028477546549836,0.1310746186088464,0.1297514460712708,0.1298208431765387,0.1384006008595275,0.1607593460756111,0.1683408588186792,0.1418522863895262,0.0,0.0,0.0,0.0906230589417884,0.1544122513728209,0.1495075996171286,0.1652001696429407,0.1374243029089688,0.1332568034375263,0.1666387411116326,0.0029370729671934,0.0,Riva del garda
